,Unnamed: 0,City,Average Income,Lat,Lon,Obesity %,Avg_High_Temp_F,Avg_Low_Temp_F,Walking Score,Recalculated Walking Score
0,2,Baltimore,63393.09154929577,39.31075955552624,-76.6182619240094,39.56218905472637,67,46,95,75.08163265306122
1,3,Birmingham,54848.35897435898,33.526924055526,-86.794535152194,40.32934782608696,74,54,32,42.795918367346935
2,7,Chicago,63975.973154362415,41.85938364804156,-87.67776147240188,33.582160804020106,61,44,80,77.20408163265306
3,8,Cincinnati,63121.58823529412,39.1395016237475,-84.50989321487833,37.08205128205128,64,45,73,51.46938775510204
4,14,Fresno,57396.979166666664,36.7810452763289,-119.7844460686172,30.20634920634921,76,54,42,59.10204081632653
5,15,Grand Rapids,63273.56756756757,42.962561205903704,-85.65507926384073,33.479629629629635,58,41,88,64.73469387755102
6,19,Indianapolis,54372.03571428572,39.79587980989676,-86.14353149544166,36.75277777777778,63,45,54,52.06122448979592
7,21,Kansas City,51008.88607594937,39.08439516780256,-94.58997513752608,37.67339449541284,65,45,66,53.326530612244895
8,22,Las Vegas,62259.827067669175,36.20352751195886,-115.23019159163924,28.356129032258064,81,60,46,47.38297872340426
9,23,Los Angeles,61724.55701754386,34.09209057165582,-118.368475034998,25.492570281124497,75,57,94,56.97959183673469
10,24,Louisville,63276.34,38.20426593574541,-85.70170109734163,34.645054945054945,68,50,17,41.16326530612245
11,26,Miami,60890.25,25.78383558467264,-80.21975599628962,33.48252427184466,84,71,68,68.85714285714286
12,27,Milwaukee,50052.50617283951,43.05229185056991,-87.95355492576574,35.874299065420566,57,41,72,65.08163265306122
13,29,Nashville,60649.7,36.14189651147912,-86.75533562692722,31.698101265822785,72,50,44,50.55102040816327
14,30,New Orleans,51234.30303030303,29.97202598403333,-90.0566709668712,36.49080459770115,79,63,92,57.06122448979592
15,32,Oklahoma City,50889.22727272727,35.48251464469455,-97.5437781151318,35.06788990825688,71,49,73,53.224489795918366
16,33,Orlando,58496.0,28.520282299265855,-81.3670542330939,30.25625,83,65,46,44.795918367346935
17,34,Philadelphia,52426.308988764045,40.00187417678042,-75.14695641876685,33.20740740740741,65,47,79,73.38775510204081
18,35,Phoenix,57556.79527559055,33.525586087779224,-112.08609619437674,31.29078212290503,87,64,57,58.734693877551024
19,36,Pittsburgh,63196.054945054944,40.445990201797805,-79.96891135771679,31.570542635658914,61,43,63,61.734693877551024
20,38,Providence,53309.15789473684,41.82257071459756,-71.42353821612194,33.31707317073171,61,43,97,67.44897959183673
21,43,Sacramento,64649.954545454544,38.55662667489917,-121.469774656275,30.482905982905983,76,51,85,69.38775510204081
22,45,San Antonio,61195.11851851852,29.474653616236893,-98.52883448508965,34.72492012779553,80,59,71,60.16326530612245
23,50,St. Louis,55297.4,38.62905316866204,-90.25107437733055,37.172222222222224,67,48,81,67.85714285714286
24,51,Tampa,57624.756410256414,27.990499712445615,-82.45496403105176,31.59818181818182,83,66,80,54.38775510204081
25,52,Tucson,56039.256410256414,32.20782121964864,-110.90400946552704,28.55211267605634,84,57,66,48.5625
26,53,Tulsa,56694.954545454544,36.12207872690588,-95.92755768800735,36.706818181818186,72,51,37,51.224489795918366
