,City,Average Income,Lat,Lon,Obesity %,Avg_High_Temp_F,Avg_Low_Temp_F,Walking Score
2,Baltimore,63393.09154929577,39.31075955552624,-76.6182619240094,39.56218905472637,67,46,95
3,Birmingham,54848.35897435898,33.526924055526,-86.794535152194,40.32934782608696,74,54,32
7,Chicago,63975.973154362415,41.85938364804156,-87.67776147240188,33.582160804020106,61,44,80
8,Cincinnati,63121.58823529412,39.1395016237475,-84.50989321487833,37.08205128205128,64,45,73
14,Fresno,57396.979166666664,36.7810452763289,-119.7844460686172,30.20634920634921,76,54,42
15,Grand Rapids,63273.56756756757,42.962561205903704,-85.65507926384073,33.479629629629635,58,41,88
19,Indianapolis,54372.03571428572,39.79587980989676,-86.14353149544166,36.75277777777778,63,45,54
21,Kansas City,51008.88607594937,39.08439516780256,-94.58997513752608,37.67339449541284,65,45,66
22,Las Vegas,62259.827067669175,36.20352751195886,-115.23019159163924,28.356129032258064,81,60,46
23,Los Angeles,61724.55701754386,34.09209057165582,-118.368475034998,25.492570281124497,75,57,94
24,Louisville,63276.34,38.20426593574541,-85.70170109734163,34.645054945054945,68,50,17
26,Miami,60890.25,25.78383558467264,-80.21975599628962,33.48252427184466,84,71,68
27,Milwaukee,50052.50617283951,43.05229185056991,-87.95355492576574,35.874299065420566,57,41,72
29,Nashville,60649.7,36.14189651147912,-86.75533562692722,31.698101265822785,72,50,44
30,New Orleans,51234.30303030303,29.97202598403333,-90.0566709668712,36.49080459770115,79,63,92
32,Oklahoma City,50889.22727272727,35.48251464469455,-97.5437781151318,35.06788990825688,71,49,73
33,Orlando,58496.0,28.520282299265855,-81.3670542330939,30.25625,83,65,46
34,Philadelphia,52426.308988764045,40.00187417678042,-75.14695641876685,33.20740740740741,65,47,79
35,Phoenix,57556.79527559055,33.525586087779224,-112.08609619437674,31.29078212290503,87,64,57
36,Pittsburgh,63196.054945054944,40.445990201797805,-79.96891135771679,31.570542635658914,61,43,63
38,Providence,53309.15789473684,41.82257071459756,-71.42353821612194,33.31707317073171,61,43,97
43,Sacramento,64649.954545454544,38.55662667489917,-121.469774656275,30.482905982905983,76,51,85
45,San Antonio,61195.11851851852,29.474653616236893,-98.52883448508965,34.72492012779553,80,59,71
50,St. Louis,55297.4,38.62905316866204,-90.25107437733055,37.172222222222224,67,48,81
51,Tampa,57624.756410256414,27.990499712445615,-82.45496403105176,31.59818181818182,83,66,80
52,Tucson,56039.256410256414,32.20782121964864,-110.90400946552704,28.55211267605634,84,57,66
53,Tulsa,56694.954545454544,36.12207872690588,-95.92755768800735,36.706818181818186,72,51,37
