,city,lat,lon,Walking Score,Address
0,Philadelphia,39.8859,-75.25250000000001,9,VPPX+92 Philadelphia Philadelphia
1,Philadelphia,39.8859,-75.2496,19,8900 Bartram Avenue Philadelphia
2,Philadelphia,39.8859,-75.2467,17,Unnamed Road Eastwick Philadelphia
3,Philadelphia,39.8859,-75.24380000000001,13,8800 Tinicum Boulevard Philadelphia
4,Philadelphia,39.8859,-75.24090000000001,19,Airport Recirculation Road Southwest Philadelphia Philadelphia
5,Philadelphia,39.8859,-75.23800000000001,17,Unnamed Road Southwest Philadelphia Philadelphia
6,Philadelphia,39.8859,-75.2351,18,9200R West King Street Philadelphia
7,Philadelphia,39.8859,-75.2322,18,4522-4546 Island Avenue Philadelphia
8,Philadelphia,39.8859,-75.22930000000001,13,8401 Escort Street Philadelphia
9,Philadelphia,39.8859,-75.22640000000001,1,8300 Executive Avenue Philadelphia
10,Philadelphia,39.8859,-75.2235,1,VQPG+9H Philadelphia Philadelphia
11,Philadelphia,39.8859,-75.2206,1,VQPH+9Q Philadelphia Philadelphia
12,Philadelphia,39.8859,-75.21770000000001,1,8214 Enterprise Avenue Philadelphia
13,Philadelphia,39.8859,-75.21480000000001,0,Delaware Expressway Southwest Philadelphia Philadelphia
14,Philadelphia,39.8859,-75.2119,0,Delaware Expressway Southwest Philadelphia Philadelphia
15,Philadelphia,39.8859,-75.209,0,Delaware Expressway Southwest Philadelphia Philadelphia
16,Philadelphia,39.8859,-75.2061,0,2140 Penrose Avenue Philadelphia
17,Philadelphia,39.8859,-75.20320000000001,0,VQPW+9P Philadelphia Philadelphia
18,Philadelphia,39.8859,-75.20030000000001,0,Unnamed Road Southwest Philadelphia Philadelphia
19,Philadelphia,39.8859,-75.1974,0,Delaware Expressway Southwest Philadelphia Philadelphia
20,Philadelphia,39.8859,-75.1945,1,Unnamed Road South Philadelphia East Philadelphia
21,Philadelphia,39.8859,-75.19160000000001,1,2000 Kitty Hawk Avenue Philadelphia
22,Philadelphia,39.8859,-75.18870000000001,4,South 21st Street South Philadelphia East Philadelphia
23,Philadelphia,39.8859,-75.1858,6,VRP7+9M Philadelphia Philadelphia
24,Philadelphia,39.8859,-75.1829,12,634 South 19th Street Philadelphia
25,Philadelphia,39.8859,-75.18,15,VRPC+92 Philadelphia Philadelphia
26,Philadelphia,39.8859,-75.17710000000001,21,5190R South 16th Street Philadelphia
27,Philadelphia,39.8859,-75.17420000000001,19,1203 Admiral Peary Way Philadelphia
28,Philadelphia,39.8859,-75.1713,13,1113 Admiral Peary Way Philadelphia
29,Philadelphia,39.8859,-75.1684,5,The Riverfront Greenway 79 Philadelphia
30,Philadelphia,39.8859,-75.16550000000001,5,480 Admiral Peary Way Philadelphia
31,Philadelphia,39.8859,-75.16260000000001,5,Shelby Field VRQQ+946 Philadelphia
32,Philadelphia,39.8859,-75.1597,4,Admiral Peary Way South Philadelphia East Philadelphia
33,Philadelphia,39.8859,-75.1568,3,591 Admiral Peary Way Philadelphia
34,Philadelphia,39.8859,-75.15390000000001,2,401-860 Admiral Peary Way Philadelphia
35,Philadelphia,39.8859,-75.15100000000001,1,Admiral Peary Way South Philadelphia East Philadelphia
36,Philadelphia,39.8859,-75.14810000000001,0,Admiral Peary Way South Philadelphia East Philadelphia
37,Philadelphia,39.8859,-75.1452,0,Admiral Peary Way South Philadelphia East Philadelphia
38,Philadelphia,39.8859,-75.1423,0,Admiral Peary Way South Philadelphia East Philadelphia
39,Philadelphia,39.8859,-75.13940000000001,1,1 Mustin Street Philadelphia
40,Philadelphia,39.8859,-75.13650000000001,2,850 Water Street Philadelphia
41,Philadelphia,39.8859,-75.1336,4,850 Water Street Philadelphia
42,Philadelphia,39.8859,-75.1307,11,850 Water Street Philadelphia
43,Philadelphia,39.8859,-75.12780000000001,35,VVPC+9V Gloucester City Philadelphia
44,Philadelphia,39.8859,-75.12490000000001,52,890 Charles Street Philadelphia
45,Philadelphia,39.8859,-75.122,62,541 Brick Street Philadelphia
46,Philadelphia,39.8859,-75.1191,58,29 South Stinson Avenue Philadelphia
